APA	APA (Eain Stearns)
Ace (Japanese player)	Ace (Kotoji Mugita)
Ackerman (Argentinian player)	Ackerman (Gabriel Aparicio)
Adam	Adam (Adam Maanane)
Aegis	Aegis (Gabriel Lemos)
Amazing (German player)	Amazing (Maurice Stückenschneider)
Angel (Chinese player)	Angel (Xiang Tao)
Archie (Vietnamese player)	Archie (Trần Minh Nhựt)
Artemis	Artemis (Trần Quốc Hưng)
BOSS (Russian player)	BOSS (Vladislav Fomin)
Bean	BEAN (Louis Schmitz)
Berserker (Korean player)	Berserker (Kim Min-cheol)
Bin	Bin (Chen Ze-Bin)
Blank	Blank (Kang Sun-gu)
Bong	Bong (Cho Bo-woong)
Candy (Korean player)	Candy (Kim Seung-ju)
Closer	Closer (Can Çelik)
Cloud	Cloud (Hu Zhen-Wei)
Cola	Cola (Jiang Nan)
Corn (Chinese player)	corn (Lei Wen)
Crazy	Crazy (Kim Jae-hee)
Danny	Danny (Kyle Sakamaki)
Destiny (Australian player)	Destiny (Mitchell Shaw)
Doran	Doran (Choi Hyeon-joon)
Duke	Duke (Lee Ho-seong)
Emperor	Emperor (Kim Jin-hyun)
Envy	Envy (Bruno Farias)
Exo	Exo (Eric Gubatan)
Frozen	Frozen (Kim Tae-il)
GODV	GodV (Wei Zhen)
Ghost (Korean player)	Ghost (Jang Yong-jun)
Glory (Vietnamese player)	Glory (Lê Ngọc Vinh)
Griffin	Griffin (Korean Team)
Hades (Swedish player)	Hades (Volkan Dinçer)
Hope (Chinese player)	Hope (Wang Jie)
Hybrid	Hybrid (Glenn Doornenbal)
Jojo	JoJo (Gabriel Dzelme)
Jun	Jun (Yoon Se-jun)
Kami	Kami (Gabriel Bohm Santos)
Lyon Gaming	Lyon Gaming (2017 Latin America North Team)
Mark (Chinese player)	Mark (Ling Xu)
Meliodas (Vietnamese player)	Meliodas (Hoàng Tiến Nhật)
Ming	Ming (Shi Sen-Ming)
Moss	Moss (Sorawat Boonphrom)
NAZ	Naz (Chen Tien-Chih)
NL	NL (Hsiung Wen-An)
NoName	NONAME (Zhou Qi-Lin)
Noah	Noah (Oh Hyeon-taek)
PEACE	PEACE (Oceanic Team)
Pilot	Pilot (Na Woo-hyung)
Pride (Chilean player)	Pride (Franco Sanzana)
Pyl	Pyl (Chen Bo)
Rich (Thai player)	Rich (Warich Kittiwattanawong)
River (Korean player)	River (Kim Dong-woo)
Road	Road (Yun Han-gil)
Shadow (Argentinian player)	Shadow (Facundo Cuello)
Shogun (Vietnamese player)	Shogun (Nguyễn Văn Huy)
Smurf (Russian player)	Smurf (Dmitri Ivanov)
Solo	Solo (Colin Earnest)
Stark (Vietnamese player)	Stark (Phan Công Minh)
Sword	Sword (Choi Sung-won)
Taki (Vietnamese player)	Taki (Đinh Anh Tài)
Tarzan (Korean player)	Tarzan (Lee Seung-yong)
Violet (Cantonese player)	Violet (Vincent Wong)
Violet (Vietnamese player)	Violet (Ngô Mạnh Quyền)
Viper (Korean player)	Viper (Park Do-hyeon)
Vulcan	Vulcan (Philippe Laflamme)
Wei	Wei (Yan Yang-Wei)
Wolf (Korean player)	Wolf (Lee Jae-wan)
Yang	Yang (Felipe Zhao)
Yeon	Yeon (Sean Sung)
Yume (Filipino player)	Yume (Danyll Jann Balisi)
Zeka	Zeka (Kim Geon-woo)
Zero (Korean player)	Zero (Yoon Kyung-sup)
ackerman	Ackerman (Xiao Wang)
illuSioN	illusion (Chen Xin-Lin)
knight	Knight (Zhuo Ding)
san	san (Guo Jun-Liang)
