Ahq e-Sports Club	OK
Ahq e-Sports Club Korea	OK
Alpha Esports	OK
BUFF	OK
Beyond Gaming	OK
Beyond Gaming Academy	OK
CTBC Flying Oyster	OK
CTBC Flying Oyster Academy	OK
Deep Cross Gaming	OK
Deep Cross Gaming Academy	OK
DetonatioN FocusMe	OK
Dewish Team	OK
Dragon Gate Team	OK
F-Soul Esports	OK
FRANK Esports	OK
Fireball	OK
Fish Dive Team	OK
Flash Wolves	OK
Fukuoka SoftBank HAWKS gaming	OK
G-Rex	OK
G-Rex Infinite	OK
GAM Esports	OK
Gamania Bears	OK
Ground Zero Gaming	OK
Ground Zero Gaming Academy	OK
HELL PIGS	OK
Hong Kong Attitude	OK
HungKuang Falcon	OK
Hurricane Gaming	OK
J Team	OK
MAD Team	OK
MVK Esports	OK
Machi Esports	OK
MachiX	OK
Meta Falcon Team	OK
Midnight Sun Esports	OK
Nate.A	OK
Nate9527	OK
PSG Talon	OK
PSG Talon Academy	OK
Raise Gaming	OK
SEM9	OK
SEM9 WPE	OK
Secret Whales	OK
SillySilly Gaming	OK
Taipei Assassins	OK
Taipei Bravo	OK
Taipei Snipers	OK
Taiwan	OK
Team Afro	OK
Wangting	OK
Wayi Spider	OK
